rowID,host_Arctos_record,ID_number,ID_type,other_identifier,other_identifier_type,pers_cat_no,sci_name,common_name,state,county,specific_locality,analysis_locality,verbatim_latitude,verbatim_longitude,analysis_lat,analysis_lon,verbatim_elev,coll_date,coll_day,coll_month,coll_year,collecting_event_ID,tissue_type,PCR_pos_01,Haem_01,Plas_01,H_haplo1,H_haplo2,H_haplo3,P_haplo1,H_count,P_count,haplotype_count,coinfection_01,novel_01,novel_count,novel_haplo_name,micro_pos_01,micro_num_infected_HP,micro_num_infected_total,micro_num_screened,micro_HP_parasitemia_percent,micro_total_parasitemia_percent,rgbif_elev,analysis_elev,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,tempPC1,tempPC2,precipPC1,precipPC2
229,https://arctos.database.museum/guid/MSB:Bird:60603,279644,NK,MSB:Bird:60603,MSB:Bird,ABJ 3900,Vireo vicinior,Gray Vireo,New Mexico,Socorro,"Sevilleta National Wildlife Refuge, Tomasino",Tomasino,34.27651,-106.61861,34.27651,-106.61861,1675,8/1/2018,1,8,2018,11344888,pectoral muscle,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1824,1675,117,179,46,7657,317,-71,388,207,71,217,20,310,62,13,64,158,41,136,46,0.163831994,-0.832959628,-0.521019562,-0.12608205
230,NA,272132453,band number,001F,GRVI ID ,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,34.22356,-106.67905,34.22356,-106.67905,NA,6/1/2017,1,6,2017,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1711,1711,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
231,NA,272132471,band number,047M,GRVI ID ,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,34.21724,-106.6928,34.21724,-106.6928,NA,6/15/2017,15,6,2017,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1695,1695,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
232,NA,272132474,band number,049F,GRVI ID ,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,Tomasino,Tomasino,34.22107,-106.70787,34.22107,-106.70787,NA,6/15/2017,15,6,2017,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,NA,NA,NA,NA,NA,NA,1689,1689,123,184,46,7712,324,-70,394,213,42,222,24,278,57,11,65,144,34,122,39,0.292402023,-0.585553737,-1.245594641,-0.170668141
233,NA,272132648,band number,NA,NA,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,West Side,West Side,34.41802,-106.9986,34.41802,-106.9986,NA,6/4/2018,4,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,106,106,10000,1.06,1.06,1703,1703,125,191,47,7840,332,-74,406,217,44,226,24,240,50,9,65,125,29,104,32,0.370447568,-0.423734385,-2.071907251,-0.051827687
234,NA,272132649,band number,NA,NA,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,West Side,West Side,34.35741,-107.05053,34.35741,-107.05053,NA,6/4/2018,4,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,39,39,10000,0.39,0.39,1611,1611,124,189,47,7740,328,-73,401,215,78,224,25,248,53,9,71,133,28,110,33,0.460785192,-0.68484466,-1.89241865,-0.421810205
235,NA,272132650,band number,NA,NA,NA,Vireo vicinior,Gray Vireo,New Mexico,Socorro,West Side,West Side,NA,NA,34.3917,-107.0095,NA,6/7/2018,7,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,40,44,10000,0.4,0.44,1685,1685,121,186,46,7715,324,-74,398,212,40,221,22,260,55,10,69,138,31,115,35,0.169699119,-0.548958573,-1.603135147,-0.330195631
236,https://arctos.database.museum/guid/MSB:Bird:44853,250872,NK,MSB:Bird:44853,MSB:Bird,DCS 9373,Vireo plumbeus,Plumbeous Vireo,New Mexico,Apache,White Mountains,White Mountains,33.86918333,-109.0616,33.86918333,-109.0616,2379,6/13/2013,13,6,2013,11066957,pectoral muscle,1,1,0,TROAED12,NA,NA,NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,2391,2379,65,191,52,6398,255,-111,366,145,92,150,-14,513,99,14,62,252,51,212,99,-2.113561185,-4.259627533,3.015120831,-1.161253355
237,https://arctos.database.museum/guid/MSB:Bird:45045,275934,NK,MSB:Bird:45045,MSB:Bird,JMM 142,Vireo plumbeus,Plumbeous Vireo,New Mexico,Cibola,Zuni Mountains,Zuni Mountains,34.83656667,-108.2145667,34.83656667,-108.2145667,2382,7/14/2016,14,7,2016,11028336,pectoral muscle,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,2389,2382,73,182,46,7403,276,-113,389,163,106,170,-21,387,72,15,53,179,48,150,77,-2.056336315,-1.877088827,0.759616963,0.346646759
238,https://arctos.database.museum/guid/MSB:Bird:47712,277412,NK,MSB:Bird:47712,MSB:Bird,CRG 493,Vireo plumbeus,Plumbeous Vireo,New Mexico,Cibola,Zuni Mountains,Zuni Mountains,34.62056667,-107.7644167,34.62056667,-107.7644167,2380,6/13/2017,13,6,2017,11305635,pectoral muscle,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,2382,2380,77,180,47,7271,276,-104,380,165,111,172,-15,366,75,14,65,189,44,158,64,-1.71852893,-2.22748226,0.628218898,-0.48431691
